RecordID,Timestamp,RequestsIn Last Minute,ActiveVMs,AvgCPU%,AvgQueueLength,VMProvisioningDelay (s),Notes
1,20/10/2025 00:00,1275,4,100,50,60,Scale-out triggered
2,20/10/2025 00:01,1179,4,100,50,60,Provisioning new VM
3,20/10/2025 00:02,1297,4,100,50,60,Provisioning new VM
4,20/10/2025 00:03,1428,4,100,50,60,Provisioning new VM
5,20/10/2025 00:04,1165,5,100,50,0,New VM active
6,20/10/2025 00:05,1165,5,93.2,63.9,60,Scale-out triggered
7,20/10/2025 00:06,1437,5,100,50,60,Provisioning new VM
8,20/10/2025 00:07,1315,5,100,50,60,Provisioning new VM
9,20/10/2025 00:08,1130,5,90.4,42.6,60,Provisioning new VM
10,20/10/2025 00:09,1281,6,100,50,0,New VM active
11,20/10/2025 00:10,1130,6,75.3,11.5,60,Scale-out triggered
12,20/10/2025 00:11,1130,6,75.3,11.5,60,Provisioning new VM
13,20/10/2025 00:12,1236,6,82.4,19.3,60,Provisioning new VM
14,20/10/2025 00:13,913,6,60.9,4.7,60,Provisioning new VM
15,20/10/2025 00:14,941,7,62.7,5.3,0,New VM active
16,20/10/2025 00:15,1116,7,63.8,5.6,0,Normal load
17,20/10/2025 00:16,1048,7,59.9,4.5,0,Normal load
18,20/10/2025 00:17,1247,7,71.3,8.8,60,Scale-out triggered
19,20/10/2025 00:18,1064,7,60.8,4.7,60,Provisioning new VM
20,20/10/2025 00:19,988,7,56.5,3.7,60,Provisioning new VM
21,20/10/2025 00:20,1420,7,81.1,17.5,60,Provisioning new VM
22,20/10/2025 00:21,1166,8,66.6,6.7,0,New VM active
23,20/10/2025 00:22,1210,8,60.5,4.6,0,Normal load
24,20/10/2025 00:23,986,8,49.3,2.4,0,Normal load
25,20/10/2025 00:24,1118,8,55.9,3.5,0,Normal load
26,20/10/2025 00:25,1217,8,60.8,4.7,0,Normal load
27,20/10/2025 00:26,1027,8,51.4,2.7,0,Normal load
28,20/10/2025 00:27,1256,8,62.8,5.3,0,Normal load
29,20/10/2025 00:28,2775,8,100,50,60,Scale-out triggered
30,20/10/2025 00:29,1156,8,57.8,4,60,Provisioning new VM
31,20/10/2025 00:30,2774,8,100,50,60,Provisioning new VM
32,20/10/2025 00:31,1478,8,73.9,10.5,60,Provisioning new VM
33,20/10/2025 00:32,1198,9,59.9,4.5,0,New VM active
